"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @tableaupublic: In today's Viz of the Day, @HristozovaE analyzes applicants for entry in 2018 into higher education institutions.
https:…",FALSE,0,NA,2018-04-21 06:39:59,FALSE,NA,"987581695464484865",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","AndyYouell",15,TRUE,FALSE,NA,NA
"RT @maximeeegrt: Et l'OM a le milliardaire américain qui leur a permis de revenir dans la première partie de tableau et de racheter un de l…",FALSE,0,NA,2018-04-21 06:39:51,FALSE,NA,"987581661066989568",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Briiian_lj",210,TRUE,FALSE,NA,NA
"RT @maximeeegrt: Et l'OM a le milliardaire américain qui leur a permis de revenir dans la première partie de tableau et de racheter un de l…",FALSE,0,NA,2018-04-21 06:38:26,FALSE,NA,"987581307608879104",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BrandTheBrown",210,TRUE,FALSE,NA,NA
"RT @maximeeegrt: Et l'OM a le milliardaire américain qui leur a permis de revenir dans la première partie de tableau et de racheter un de l…",FALSE,0,NA,2018-04-21 06:38:06,FALSE,NA,"987581222258905088",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Aissata_Keita",210,TRUE,FALSE,NA,NA
"RT @Emma_Hollen: Good morning cool people! <ed><U+00A0><U+00BD><ed><U+00B8><U+008A>
On termine la semaine avec un petit fou rire.
J'ai nommé le tableau le plus swag de l'univers…",FALSE,0,NA,2018-04-21 06:37:56,FALSE,NA,"987581182262030336",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TheKindWitch",41,TRUE,FALSE,NA,NA
"RT @ParlonsFoot237: OFFICIEL ! Henan Jianye, le club de C. Bassogog <ed><U+00A0><U+00BC><ed><U+00B7><U+00A8><ed><U+00A0><U+00BC><ed><U+00B7><U+00B2> a annoncé la résiliation du contrat de son entraîneur principal Drag…",FALSE,0,NA,2018-04-21 06:37:28,FALSE,NA,"987581064347516928",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LudovicThierry",8,TRUE,FALSE,NA,NA
"@MetairieJacques Bonjour, j'aime beaucoup votre tableau , <ed><U+00A0><U+00BC><ed><U+00B7><U+00AB><ed><U+00A0><U+00BC><ed><U+00B7><U+00B7> bonne journée <ed><U+00A0><U+00BD><ed><U+00B8><U+0080>",FALSE,1,"MetairieJacques",2018-04-21 06:35:27,FALSE,"987579423514857472","987580556673208320","557820662","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Patricia303357",0,FALSE,FALSE,NA,NA
"RT @maximeeegrt: Et l'OM a le milliardaire américain qui leur a permis de revenir dans la première partie de tableau et de racheter un de l…",FALSE,0,NA,2018-04-21 06:35:03,FALSE,NA,"987580456462897152",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DocteurParm",210,TRUE,FALSE,NA,NA
"Ada yg punya aplikasi tableau ?",FALSE,0,NA,2018-04-21 06:32:38,FALSE,NA,"987579848326504448",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","fahrips_",0,FALSE,FALSE,NA,NA
"RT @maximeeegrt: Et l'OM a le milliardaire américain qui leur a permis de revenir dans la première partie de tableau et de racheter un de l…",FALSE,0,NA,2018-04-21 06:31:40,FALSE,NA,"987579602917842944",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Yelga243",210,TRUE,FALSE,NA,NA
"RT @maximeeegrt: Et l'OM a le milliardaire américain qui leur a permis de revenir dans la première partie de tableau et de racheter un de l…",FALSE,0,NA,2018-04-21 06:31:37,FALSE,NA,"987579591127642112",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NICOPEZ1984",210,TRUE,FALSE,NA,NA
"RT @maximeeegrt: Et l'OM a le milliardaire américain qui leur a permis de revenir dans la première partie de tableau et de racheter un de l…",FALSE,0,NA,2018-04-21 06:29:44,FALSE,NA,"987579117133541376",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RDerivaz",210,TRUE,FALSE,NA,NA
"RT @maximeeegrt: Et l'OM a le milliardaire américain qui leur a permis de revenir dans la première partie de tableau et de racheter un de l…",FALSE,0,NA,2018-04-21 06:29:41,FALSE,NA,"987579104630394880",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jessicamimi7",210,TRUE,FALSE,NA,NA
"RT @ParlonsFoot237: OFFICIEL ! Henan Jianye, le club de C. Bassogog <ed><U+00A0><U+00BC><ed><U+00B7><U+00A8><ed><U+00A0><U+00BC><ed><U+00B7><U+00B2> a annoncé la résiliation du contrat de son entraîneur principal Drag…",FALSE,0,NA,2018-04-21 06:25:54,FALSE,NA,"987578150795300865",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Lunik_Midas",8,TRUE,FALSE,NA,NA
"OFFICIEL ! Henan Jianye, le club de C. Bassogog <ed><U+00A0><U+00BC><ed><U+00B7><U+00A8><ed><U+00A0><U+00BC><ed><U+00B7><U+00B2> a annoncé la résiliation du contrat de son entraîneur principal… https://t.co/2xdZjjo0nx",FALSE,5,NA,2018-04-21 06:25:44,TRUE,NA,"987578110508982272",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","ParlonsFoot237",8,FALSE,FALSE,NA,NA
"RT @Juampi_HWJ: Soulever les montagnes ? Aucune victoire contre le trio de tete ni Montpellier... seul fait d'arme une victoire contre Leip…",FALSE,0,NA,2018-04-21 06:25:22,FALSE,NA,"987578020159545344",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AlexisPSG14",50,TRUE,FALSE,NA,NA
"Le secouriste Abou Athira dessine un tableau humain en se dépassant https://t.co/FSXI9Bfwqh",FALSE,0,NA,2018-04-21 06:24:54,FALSE,NA,"987577899082399744",NA,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>","ZayUma",0,FALSE,FALSE,NA,NA
"RT @maximeeegrt: Et l'OM a le milliardaire américain qui leur a permis de revenir dans la première partie de tableau et de racheter un de l…",FALSE,0,NA,2018-04-21 06:24:52,FALSE,NA,"987577892262510594",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CAROU_R",210,TRUE,FALSE,NA,NA
"Virginia Polytechnic Institute and State University received $165364 from the IMLS National Leadership Grants in FY… https://t.co/f8YxrazKhE",FALSE,0,NA,2018-04-21 06:22:29,TRUE,NA,"987577293437579269",NA,"<a href=""http://tabsoft.co/2mWQG2I"" rel=""nofollow"">IMLSbot</a>","IMLSbot",0,FALSE,FALSE,NA,NA
"Le tableau du samedi chez Lady Marianne - Plume de Poète et ses Défis https://t.co/i0ZMuaIue1",FALSE,0,NA,2018-04-21 06:21:56,FALSE,NA,"987577153406595072",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","EvelyneGenique",0,FALSE,FALSE,NA,NA
"Le tableau du samedi chez Lady Marianne  https://t.co/i0ZMuaIue1 #DéfichezLadyMarianne",FALSE,0,NA,2018-04-21 06:21:47,FALSE,NA,"987577114663759872",NA,"<a href=""http://www.over-blog-kiwi.com"" rel=""nofollow"">OverBlog Kiwi</a>","EvelyneGenique",0,FALSE,FALSE,NA,NA
"RT @tableaupublic: In today's Viz of the Day, @HristozovaE analyzes applicants for entry in 2018 into higher education institutions.
https:…",FALSE,0,NA,2018-04-21 06:20:25,FALSE,NA,"987576771007733760",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","greenynorfolk",15,TRUE,FALSE,NA,NA
"@MadeInLens Gros match ! @bilalbari1901 je veux voir ton nom sur le tableau d’affichage ... l’année prochaine buteu… https://t.co/RXPXn2ez8H",FALSE,0,"MadeInLens",2018-04-21 06:19:35,TRUE,"987569261341282304","987576560797368320","22168394","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ApashZenit",0,FALSE,FALSE,NA,NA
