"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @rvvid: <U+B300><U+B9CC> BOB 

<U+B808><U+B4DC><U+BCA8><U+BCB3>  - would you 

cr. bearlips

https://t.co/3EBZMANc9d https://t.co/L9V1LPheiD",FALSE,0,NA,2018-04-21 11:06:17,FALSE,NA,"987648712733159425",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Hawaiian__pizza",173,TRUE,FALSE,NA,NA
"RT @mok_gyeolryeo: <U+C694><U+C998> <U+CC30><U+B791><U+CC30><U+B791> <U+BC88><U+CA4D><U+BC88><U+CA4D> <U+ADC0><U+AC78><U+C774> <U+B108><U+BB34> <U+C88B><U+C74C> https://t.co/WaEmMGMpuU",FALSE,0,NA,2018-04-21 11:02:16,FALSE,NA,"987647704338595842",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Hawaiian__pizza",18,TRUE,FALSE,NA,NA
"<U+B369><U+CF00><U+B791> <U+C57C><U+AD6C> <U+C9C0><U+B294> <U+C598><U+AE30><U+D558><U+BA74> <U+C7AC><U+BC0C><U+B294><U+B370> <U+B9C9><U+C0C1> <U+C9C4> <U+C2A4><U+CF54><U+C5B4><U+BCF4><U+BA74> <U+D654> <U+B098>",FALSE,0,NA,2018-04-21 11:00:02,FALSE,NA,"987647138975789056",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Hawaiian__pizza",0,FALSE,FALSE,NA,NA
"<U+B204><U+AC00> <U+AC00><U+C744><U+C57C><U+AD6C><U+B97C> <U+BCF4><U+ACE0> <U+C810><U+D37C><U+B97C> <U+C0AC> <U+B098> <U+C0C0><U+C9C0><U+B9CC> <U+C77C><U+B9D0><U+C758> <U+AE30><U+B300><U+B3C4> <U+C5C6><U+C5B4> <U+D328><U+C158>. <U+C6A9><U+C774><U+C57C>",FALSE,0,NA,2018-04-21 10:58:46,FALSE,NA,"987646821341192192",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Hawaiian__pizza",1,FALSE,FALSE,NA,NA
"RT @seurrene: <ed><U+00A0><U+00BD><ed><U+00B2><U+0099><ed><U+00A0><U+00BD><ed><U+00B2><U+009B><ed><U+00A0><U+00BD><ed><U+00B2><U+009C> https://t.co/kRfyRNqMU6",FALSE,0,NA,2018-04-21 10:57:38,FALSE,NA,"987646537697083392",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Hawaiian__pizza",121,TRUE,FALSE,NA,NA
"RT @Vanell0pe_: <U+BA64><U+BC84><U+AC00> <U+D55C><U+BA85> <U+BE60><U+C9C0><U+BA74> <U+B298> <U+ADF8> <U+BA64><U+BC84><U+C758> <U+C790><U+B9AC><U+B97C> <U+B0A8><U+ACA8><U+B193><U+B294> <U+B808><U+B4DC><U+BCA8><U+BCB3> https://t.co/Bt2aw8M5XC",FALSE,0,NA,2018-04-21 10:56:39,FALSE,NA,"987646289918640129",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Hawaiian__pizza",768,TRUE,FALSE,NA,NA
"<U+D55C><U+D654><U+D32C><U+C740> <U+C2B9><U+D328><U+C5D0> <U+C18C><U+BE44><U+B97C> <U+AC00><U+B9AC><U+C9C0><U+C54A><U+B294><U+B2E4>",FALSE,0,NA,2018-04-21 10:56:07,FALSE,NA,"987646154975268864",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Hawaiian__pizza",1,FALSE,FALSE,NA,NA
"RT @wendy_video: <ed><U+00A0><U+00BC><ed><U+00BE><U+008A><U+BCF8><U+C0C1> <U+CD95><U+D558><U+D574><ed><U+00A0><U+00BC><ed><U+00BE><U+008A>
<U+C5BC><U+AD74> <U+C5F4><U+C77C><U+C0C1><U+ACFC> <U+C601><U+C5B4><U+BC1C><U+C74C> <U+C0C1> <U+C880> <U+B354> <U+C8FC><U+C138><U+C694><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5>
#<U+B808><U+B4DC><U+BCA8><U+BCB3> #<U+C6EC><U+B514> #wendy https://t.co/hDcI63JB49",FALSE,0,NA,2018-04-21 10:51:21,FALSE,NA,"987644953999294464",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Hawaiian__pizza",239,TRUE,FALSE,NA,NA
"RT @rocketxplanet: 180421 BEST OF BEST CONCERT IN TAIPEI

<U+C624><U+B79C><U+B9CC><U+C774><U+C5D0><U+C694>~
<U+B108><U+BB34> <U+BCF4><U+ACE0><U+C2F6><U+C5C8><U+C5B4><ed><U+00A0><U+00BE><ed><U+00B4><U+00A9><ed><U+00A0><U+00BD><ed><U+00B8><U+008D>

 #<U+C2AC><U+AE30> #<U+C6EC><U+B514> #<U+B808><U+B4DC><U+BCA8><U+BCB3> #<ed><U+00A0><U+00BD><ed><U+00BA><U+0080><ed><U+00A0><U+00BC><ed><U+00BC><U+0091> https://t.co/l0CcVSx66R",FALSE,0,NA,2018-04-21 10:48:35,FALSE,NA,"987644259661590528",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Hawaiian__pizza",984,TRUE,FALSE,NA,NA
"<U+CD5C><U+C560><U+BD84><U+C544><U+3160><U+3160><U+3160><U+3160><U+3160><U+3160><U+3160> https://t.co/OYLz0re4bi",FALSE,4,NA,2018-04-21 10:47:20,FALSE,NA,"987643944522530816",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Hawaiian__pizza",1,FALSE,FALSE,NA,NA
